FIPS,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Median Age,lon,lat,Adult.obesity,Diabetes,Uninsured,Unemployment
16011,15.4,84.6,15.9,3.9,74.4,21350.02667,75.55,0.35,5.35,0.6,1.7,16.4,22.95,10.95,44621.0,31.6,14.95,0.429,18.7,27.95,17.55,21.6,5.15,11.45,16.25,31.4,-112.39920579999999,43.2163568,0.337,0.124,0.228,0.061
16013,8.0,92.0,43.2,13.7,72.85,28633.3781,79.15,0.05,0.2,0.8,1.2,18.65,14.7,7.15,21575.0,47.0,9.95,0.431,13.1,33.6,20.45,21.55,1.25,14.7,8.4,39.5,-113.95528970000001,43.3944816,0.184,0.057999999999999996,0.222,0.067
16015,12.8,87.2,23.9,8.1,78.05,29129.06222,92.75,0.1,0.5,0.5,2.15,3.9,10.9,9.85,7247.0,42.4,14.5,0.40299999999999997,21.85,35.9,11.3,22.15,2.05,17.75,10.9,46.3,-115.7151105,43.9872749,0.258,0.10099999999999999,0.193,0.086
16017,9.0,91.0,22.5,7.6,71.85,24025.47683,94.45,0.2,0.75,0.55,1.75,2.25,23.6,6.85,40877.0,46.5,13.85,0.439,21.05,30.2,16.85,21.45,2.15,14.4,15.0,44.8,-116.59693970000001,48.3125124,0.237,0.091,0.20199999999999999,0.099
16019,9.4,90.6,26.2,8.1,71.45,24070.212069999998,86.3,0.5,0.55,0.85,1.35,10.45,17.15,6.25,100236.0,40.9,10.65,0.424,13.65,34.8,15.8,26.35,1.1,10.7,11.15,31.5,-111.6218783,43.395170799999995,0.284,0.086,0.157,0.06
16021,17.1,82.9,12.9,3.7,68.15,22588.66603,92.1,0.15,1.45,0.6,1.75,3.9,18.05,13.85,10860.0,23.5,18.75,0.426,20.7,25.15,19.0,21.2,4.7,18.05,11.85,42.3,-116.52461940000002,48.773065100000004,0.256,0.085,0.235,0.1
16023,11.4,88.6,17.5,5.0,75.65,22245.58064,94.55,0.1,0.2,0.1,0.95,4.1,20.15,7.05,2830.0,23.0,14.9,0.41600000000000004,19.75,31.95,20.35,19.5,3.35,12.5,12.35,46.4,-113.1776271,43.6850995,0.3,0.09699999999999999,0.172,0.07200000000000001
16025,18.1,81.9,22.6,5.9,77.5,22400.14572,86.6,0.2,1.4,0.05,1.5,10.25,34.25,4.6,1078.0,0.0,16.1,0.375,27.05,26.4,15.65,15.8,8.0,15.0,19.1,37.7,-114.80442649999999,43.4633958,0.256,0.092,0.278,0.09
16027,18.0,82.0,16.7,4.8,70.75,23329.98603,73.35,0.55,0.55,0.8,2.2,22.6,25.25,9.15,182871.0,29.7,17.1,0.401,23.25,27.15,16.5,25.7,2.7,12.7,15.25,31.0,-116.7085267,43.623050899999996,0.3,0.095,0.225,0.083
16029,12.0,88.0,16.2,3.3,73.9,23050.32191,93.3,0.05,0.4,0.25,1.1,4.95,4.65,5.3,6925.0,64.2,8.5,0.36200000000000004,10.2,28.75,16.6,20.0,3.3,16.95,14.4,38.4,-111.5441715,42.786272600000004,0.247,0.084,0.165,0.057999999999999996
16031,21.2,78.8,15.7,4.9,71.6,22429.005080000003,73.6,0.2,0.55,0.3,1.35,23.95,20.15,10.1,22053.0,21.9,15.9,0.441,20.4,27.55,15.0,20.35,10.7,12.4,14.05,32.4,-113.60549840000002,42.2886346,0.308,0.10400000000000001,0.23199999999999998,0.055
16033,31.1,68.9,5.3,1.1,74.95,24248.019369999998,56.05,0.1,1.7,0.25,0.85,41.0,12.15,23.35,983.0,50.0,13.55,0.381,16.6,30.95,6.9,5.4,22.55,16.35,17.9,42.3,-112.3611202,44.2862512,0.29,0.094,0.314,0.066
16035,15.3,84.7,14.4,4.5,70.3,24283.08635,92.0,0.3,2.4,0.7,1.7,2.9,12.55,7.45,8476.0,50.0,11.6,0.389,15.9,27.1,21.05,17.6,6.65,11.35,16.2,48.1,-115.6535003,46.67257,0.316,0.106,0.19899999999999998,0.13
16037,7.1,92.9,24.5,4.7,62.35,24465.97365,94.9,0.05,0.6,0.1,1.35,2.95,20.35,14.6,4248.0,36.5,12.85,0.414,17.05,31.8,14.45,21.55,0.9,19.75,11.55,41.0,-114.25225079999998,44.2733408,0.26899999999999996,0.098,0.179,0.071
16039,15.5,84.5,14.6,4.3,64.75,25154.25588,75.85,2.0,1.6,1.95,4.05,14.6,21.45,6.05,27914.0,56.1,11.7,0.375,19.15,25.3,19.9,22.95,4.3,12.8,14.8,29.5,-115.47075079999999,43.3948263,0.295,0.086,0.198,0.075
16041,8.3,91.7,18.5,6.1,75.45,21745.67969,91.55,0.1,0.45,0.15,0.75,6.95,25.65,7.15,12529.0,22.5,14.0,0.39399999999999996,21.05,25.3,13.95,22.1,5.35,15.2,18.15,31.5,-111.8229553,42.1735886,0.282,0.091,0.205,0.045
16043,15.0,85.0,19.8,4.7,68.25,21377.59492,84.75,0.1,0.65,0.3,1.05,13.1,15.05,10.2,12889.0,30.3,9.4,0.381,11.25,27.6,17.3,19.45,8.0,13.4,14.2,32.7,-111.484429,44.2180909,0.237,0.08900000000000001,0.253,0.065
