FIPS,African American Population,Uninsured,Production.transportation.and.material.moving.occupations,lat,Adults 65 and Older Living in Poverty,Other Race or Races,White (Not Latino) Population,Sales.and.office.occupations,Poverty.Rate.below.federal.poverty.threshold,Construction.extraction.maintenance.and.repair.occupations,Child.Poverty.living.in.families.below.the.poverty.line,Adult.obesity,Total Population,Children Under 6 Living in Poverty,Farming.fishing.and.forestry.occupations,Diabetes,School Enrollment,lon,Management.professional.and.related.occupations,Service.occupations,Median Earnings 2010,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,At Least Bachelors's Degree,Native American Population,Graduate Degree,Gini.Coefficient,Asian American Population,Latino Population,Median Age,At Least High School Diploma,Less Than High School Diploma,Unemployment
38009,0.004065040650406504,0.329608938547486,0.18144611186903137,0.9983504296997019,0.2672919109026964,0.06060606060606061,0.9477766287487074,0.520485584218513,0.2381443298969072,0.46254681647940077,0.2698289269051322,0.5229885057471264,0.0006137812249465339,0.27244193345888257,0.13999999999999999,0.4161490683229814,0.8110599078341013,0.6392711674925029,0.3752276867030966,0.41226818830242506,0.4127698449066824,0.44799999999999995,0.26957831325301207,0.027939464493597202,0.15217391304347827,0.511111111111111,0.00234192037470726,0.010293360782295419,0.6478149100257069,0.7609277430865299,0.2607003891050584,0.07999999999999999
38011,0.0005807200929152149,0.2430167597765363,0.4201909959072306,0.9064846606631651,0.39038686987104343,0.010606060606060605,0.9788004136504653,0.5584218512898331,0.10412371134020619,0.4344569288389514,0.06298600311041991,0.5287356321839081,0.0002688353603281444,0.038292529817953544,0.12727272727272726,0.3788819875776397,0.6036866359447005,0.6102220117413202,0.2622950819672132,0.3323823109843082,0.42550354227820786,0.035,0.24096385542168677,0.006402793946449359,0.08152173913043478,0.42222222222222217,0.00117096018735363,0.019042717447246525,0.6323907455012854,0.8055307760927745,0.21206225680933852,0.03636363636363637
38013,0.0011614401858304297,0.2011173184357542,0.286493860845839,0.9980783069347832,0.1910902696365768,0.02121212121212121,0.9767321613236815,0.37329286798179057,0.10721649484536082,0.37827715355805247,0.17340590979782272,0.5028735632183908,0.00016170931541560111,0.13057124921531701,0.13999999999999999,0.4285714285714285,0.7705069124423963,0.6209335741779538,0.47540983606557374,0.34807417974322397,0.5230784502132546,0.35700000000000004,0.20933734939759044,0.008149010477299184,0.10597826086956523,0.47619047619047616,0.008196721311475409,0.012352032938754502,0.717223650385604,0.8162355040142729,0.20038910505836577,0.03636363636363637
38015,0.005807200929152149,0.18156424581005587,0.19236016371077763,0.9360294883391727,0.24384525205158267,0.04848484848484849,0.9286452947259565,0.6509863429438543,0.14432989690721648,0.2808988764044944,0.18273716951788493,0.3908045977011495,0.008036085765315606,0.2222222222222222,0.02909090909090909,0.25465838509316774,0.6894009216589864,0.6432806168695169,0.4672131147540983,0.3580599144079886,0.5181915498152341,0.395,0.43072289156626503,0.04365541327124563,0.24456521739130438,0.39682539682539686,0.01288056206088993,0.013381369016984045,0.38560411311053977,0.8697591436217663,0.14202334630350194,0.06909090909090909
38017,0.024390243902439025,0.22067039106145253,0.3028649386084584,0.934496252897361,0.2227432590855803,0.046969696969696974,0.9141675284384695,0.6433990895295902,0.22061855670103092,0.26591760299625467,0.17107309486780717,0.3994252873563219,0.014628112445210128,0.1638418079096045,0.025454545454545452,0.2298136645962733,0.6801843317972353,0.6781312564496742,0.4371584699453551,0.3109843081312411,0.47213008735258044,0.316,0.4924698795180723,0.013969732246798601,0.2798913043478261,0.4857142857142859,0.04800936768149882,0.02213072568193515,0.22879177377892024,0.9054415700267618,0.10311284046692606,0.09090909090909091
38019,0.0005807200929152149,0.22346368715083798,0.3465211459754434,0.9974623155346038,0.2672919109026964,0.015151515151515152,0.9850051706308169,0.49772382397572074,0.12989690721649483,0.21910112359550563,0.2115085536547434,0.5258620689655172,0.00036086173414825307,0.19522912743251725,0.13636363636363635,0.4285714285714285,0.8009216589861753,0.6649775086023768,0.5009107468123861,0.25106990014265335,0.4734407739523426,0.204,0.2123493975903615,0.015133876600698485,0.0923913043478261,0.2984126984126986,0.00234192037470726,0.0030880082346886255,0.717223650385604,0.7876895628902766,0.23151750972762644,0.09090909090909091
38021,0.005226480836236934,0.24860335195530725,0.4529331514324693,0.9064828996716856,0.4243845252051583,0.0393939393939394,0.9581178903826267,0.4931714719271623,0.18762886597938144,0.24157303370786518,0.12986003110419908,0.4770114942528735,0.000500227617339238,0.18644067796610167,0.15818181818181817,0.40372670807453415,0.7640552995391706,0.6646221437348852,0.3451730418943534,0.3523537803138374,0.4076668986832305,0.684,0.23192771084337357,0.011059371362048893,0.09510869565217392,0.4825396825396825,0.00468384074941452,0.020586721564590838,0.5089974293059125,0.7698483496877789,0.2509727626459144,0.07636363636363636
38023,0.0017421602787456446,0.24860335195530725,0.16098226466575716,0.9991618808959193,0.1313012895662368,0.010606060606060605,0.9767321613236815,0.3899848254931714,0.24123711340206183,0.43632958801498134,0.6080870917573873,0.45402298850574707,0.00015864857127524272,0.6961707470182046,0.09454545454545454,0.36024844720496885,0.5548387096774193,0.6103190120532025,0.5364298724954463,0.35520684736091296,0.48290578079098573,0.0,0.23343373493975908,0.0034924330616996502,0.10054347826086958,0.4380952380952382,0.01288056206088993,0.017498713329902212,0.7326478149100257,0.8501338090990188,0.16342412451361868,0.04727272727272728
38025,0.0011614401858304297,0.33519553072625696,0.38472032742155526,0.9491178267020801,0.27667057444314186,0.0787878787878788,0.8433298862461219,0.2503793626707132,0.13711340206185568,0.38389513108614237,0.13996889580093314,0.48563218390804597,0.00030760478610601725,0.08286252354048963,0.19272727272727272,0.39751552795031053,0.5622119815668204,0.6199316100568222,0.4690346083788707,0.3252496433666191,0.43162736290263554,0.198,0.17168674698795183,0.13620488940628636,0.06793478260869566,0.365079365079365,0.008196721311475409,0.012352032938754502,0.557840616966581,0.7270294380017842,0.29766536964980544,0.025454545454545452
38027,0.008710801393728223,0.2932960893854749,0.3083219645293315,0.9617294629617468,0.4490035169988277,0.025757575757575757,0.937952430196484,0.3899848254931714,0.2608247422680412,0.37827715355805247,0.31493001555209954,0.45977011494252884,0.00020292733650576064,0.36220966729441306,0.11454545454545453,0.3850931677018633,0.8165898617511521,0.6602359204507147,0.459016393442623,0.35378031383737524,0.4340678497990269,0.039,0.2123493975903615,0.04074505238649592,0.11413043478260872,0.3047619047619047,0.0035128805620608895,0.016469377251672673,0.6246786632390744,0.6966993755575378,0.33073929961089493,0.16000000000000003
38029,0.0017421602787456446,0.38268156424581007,0.23192360163710773,0.9125181183797149,0.47713950762016416,0.0196969696969697,0.9917269906928645,0.4309559939301973,0.2711340206185567,0.27715355805243447,0.33359253499222397,0.560344827586207,0.00031974573786277215,0.5122410546139359,0.10909090909090909,0.49689440993788814,0.8414746543778803,0.6457145620204043,0.6457194899817851,0.1825962910128388,0.3999208791289949,0.20800000000000002,0.15060240963855423,0.002328288707799767,0.06521739130434782,0.4666666666666667,0.00234192037470726,0.005661348430262481,0.7017994858611825,0.6396074933095449,0.39299610894941633,0.18545454545454546
38031,0.0005807200929152149,0.19553072625698326,0.4188267394270123,0.9528694942413325,0.3259085580304807,0.012121212121212123,0.9927611168562565,0.42336874051593326,0.10309278350515462,0.13857677902621723,0.07698289269051323,0.49425287356321834,0.00030311569470015825,0.05084745762711864,0.15454545454545454,0.3788819875776397,0.5502304147465437,0.6605362333468099,0.505464480874317,0.2867332382310984,0.474567075403247,0.063,0.21837349397590364,0.0034924330616996502,0.03260869565217391,0.6444444444444445,0.00117096018735363,0.007720020586721565,0.5989717223650384,0.7930419268510259,0.22568093385214008,0.09090909090909091
38033,0.0029036004645760743,0.32681564245810063,0.15006821282401092,0.9349038591659817,0.2754982415005862,0.022727272727272728,0.9756980351602895,0.3535660091047041,0.2329896907216495,0.38576779026217234,0.27838258164852253,0.5028735632183908,0.00012181761678626353,0.3126177024482109,0.19999999999999998,0.3291925465838509,0.8451612903225806,0.6065516736478482,0.4918032786885246,0.4322396576319544,0.3817437123304245,0.0,0.2379518072289157,0.009313154831199068,0.10054347826086958,0.5904761904761907,0.00117096018735363,0.012866700977869273,0.5835475578406171,0.864406779661017,0.14785992217898833,0.07636363636363636
38035,0.020905923344947737,0.21787709497206703,0.2660300136425648,0.968656044265759,0.24150058616647124,0.06060606060606061,0.8981385729058944,0.6327769347496206,0.31649484536082473,0.2434456928838952,0.24572317262830484,0.48275862068965514,0.006764754674215414,0.25486503452605147,0.045454545454545456,0.1987577639751553,0.6958525345622121,0.6759761684651175,0.3679417122040073,0.4693295292439372,0.37903481629131286,0.34500000000000003,0.4457831325301205,0.028521536670547146,0.32336956521739135,0.47619047619047616,0.033957845433255265,0.03088008234688626,0.17223650385604106,0.8768956289027655,0.13424124513618677,0.10545454545454547
38037,0.0,0.5251396648044693,0.2551159618008186,0.9150338297747262,0.4337631887456037,0.028787878787878786,0.9648397104446742,0.2959028831562974,0.20412371134020618,0.25468164794007486,0.24727838258164855,0.6580459770114943,0.00020884477517712016,0.1807909604519774,0.08727272727272727,0.44720496894409933,0.785253456221198,0.6305000282469677,0.7140255009107469,0.2168330955777461,0.45283032868374107,0.263,0.19126506024096387,0.029685681024447026,0.08152173913043478,0.526984126984127,0.01053864168618267,0.0015440041173443127,0.7275064267352185,0.782337198929527,0.23735408560311283,0.10545454545454547
38039,0.0017421602787456446,0.24860335195530725,0.3015006821282401,0.9528399608754881,0.34935521688159443,0.004545454545454545,0.9979317476732161,0.42033383915022754,0.21237113402061852,0.2696629213483146,0.2068429237947123,0.49712643678160917,0.00019925444353733056,0.384180790960452,0.1290909090909091,0.39751552795031053,0.4958525345622121,0.6674895065709969,0.5182149362477232,0.3124108416547789,0.4366807611123255,0.344,0.23042168674698796,0.004074505238649592,0.11141304347826086,0.346031746031746,0.00234192037470726,0.002058672156459084,0.7583547557840618,0.7627118644067797,0.2587548638132296,0.06545454545454546
