County;Less Than High School Diploma;At Least High School Diploma;At Least Bachelors's Degree;Graduate Degree;School Enrollment;Median Earnings 2010;White (Not Latino) Population;African American Population;Native American Population;Asian American Population;Other Race or Races;Latino Population;Children Under 6 Living in Poverty;Adults 65 and Older Living in Poverty;Total Population;Preschool.Enrollment.Ratio.enrolled.ages.3.and.4;Poverty.Rate.below.federal.poverty.threshold;Gini.Coefficient;Child.Poverty.living.in.families.below.the.poverty.line;Management.professional.and.related.occupations;Service.occupations;Sales.and.office.occupations;Farming.fishing.and.forestry.occupations;Construction.extraction.maintenance.and.repair.occupations;Production.transportation.and.material.moving.occupations;Median Age;lon;lat;Adult.obesity;Diabetes;Uninsured;Unemployment
Hardeman County, Tennessee;29.7;70.3;10.7;4.2;70.0;21950.29492;56.5;40.15;0.25;0.9;0.85;1.4;35.5;17.65;27506;30.0;19.65;0.455;24.2;25.85;21.55;19.45;1.75;9.25;22.15;39.3;-88.9890374;35.2181307;0.369;0.126;0.163;0.11
St. Joseph County, Indiana;13.6;86.4;25.6;9.7;81.0;25850.424125;76.75;12.05;0.30000000000000004;1.85;2.4;6.75;24.15;7.85;266665;39.4;14.15;0.445;20.3;32.65;16.45;26.75;0.2;7.95;16.05;35.9;-86.2881592;41.6176989;0.28700000000000003;0.095;0.181;0.097
Atascosa County, Texas;26.2;73.8;11.0;3.7;74.3;23338.467935;36.75;0.65;0.15;0.30000000000000004;0.9500000000000001;61.2;34.4;20.15;44217;55.4;19.15;0.429;26.2;24.4;16.1;24.2;1.5;18.7;15.1;35.6;-98.5281872;28.8942963;0.308;0.10200000000000001;0.266;0.066
Karnes County, Texas;34.4;65.6;8.4;2.5;38.95;21117.85492;39.4;9.8;0.15;0.2;0.9500000000000001;49.5;26.75;18.65;14942;19.9;19.0;0.441;21.25;29.05;21.8;20.15;2.6;12.55;13.85;38.5;-97.8607669;28.9076175;0.28500000000000003;0.096;0.218;0.068
Bristol County, Massachusetts;19.9;80.1;24.7;8.1;78.7;32110.545715;86.45;2.9;0.15;1.8;3.2;5.5;18.4;10.15;546747;56.3;11.0;0.442;15.3;33.35;18.05;25.7;0.30000000000000004;9.4;13.2;39.2;-71.0870622;41.7485756;0.291;0.108;0.052000000000000005;0.093
Mackinac County, Michigan;10.9;89.1;20.1;7.6;78.65;21443.87524;76.8;1.65;15.05;0.6000000000000001;4.75;1.2;21.9;6.65;10992;44.8;13.55;0.40900000000000003;17.95;25.55;25.05;24.95;1.0;13.85;9.65;47.1;-85.3037562;46.1679807;0.338;0.125;0.209;0.107
Kings County, California;30.1;69.9;11.8;3.3;67.3;23075.12603;36.6;7.1;0.9500000000000001;3.35;2.3;49.65;31.15;9.3;149839;35.5;19.2;0.41300000000000003;27.75;23.4;20.25;20.1;12.65;8.8;14.8;30.8;-119.8155301;36.072478;0.242;0.075;0.212;0.153
Irion County, Texas;18.4;81.6;12.3;1.4;85.95;23895.57905;68.15;2.4;0.2;0.35000000000000003;0.55;28.35;0.0;2.75;1638;34.0;2.55;0.489;0.8;25.5;17.9;20.8;8.5;12.45;14.85;44.5;-100.9813037;31.3034241;0.291;0.113;0.254;0.043000000000000003
Big Horn County, Montana;16.4;83.6;12.6;5.1;73.35;19858.882855;31.25;0.1;60.9;0.55;2.55;4.7;34.75;16.95;12837;75.0;23.3;0.432;32.55;31.45;24.5;19.95;2.8;11.85;9.45;31.0;-107.5181625;45.407869;0.353;0.128;0.303;0.128
New Hanover County, North Carolina;10.5;89.5;36.1;11.9;76.2;25510.4873;77.55;15.0;0.35000000000000003;1.2;1.6;4.3;20.2;7.35;196065;56.0;14.95;0.485;18.85;36.4;19.8;26.25;0.1;8.95;8.5;37.2;-77.8713775;34.177466;0.255;0.105;0.19;0.092
Clinch County, Georgia;27.1;72.9;17.1;7.0;67.1;23025.26381;66.5;29.4;0.30000000000000004;0.15;1.65;2.1;53.5;23.55;6901;37.0;25.75;0.43;36.95;20.8;20.1;12.7;7.4;9.55;29.55;35.9;-82.7026143;30.9176531;0.327;0.129;0.219;0.109
Collier County, Florida;15.2;84.8;30.8;11.9;73.75;27446.8073;66.6;5.8;0.2;1.05;0.85;25.55;23.15;5.85;317342;36.1;11.5;0.522;19.25;28.2;22.65;26.35;2.15;13.5;7.15;45.8;-81.4008838;26.1187125;0.209;0.101;0.28600000000000003;0.085
Ada County, Idaho;7.1;92.9;35.0;11.1;75.65;29702.98635;87.0;1.05;0.5;2.35;2.3;6.85;14.45;6.65;380578;41.3;9.8;0.435;11.45;40.6;15.1;26.85;0.45;8.25;8.8;34.4;-116.244456;43.4478606;0.23500000000000001;0.073;0.14;0.063
Woodson County, Kansas;9.7;90.3;12.8;2.9;68.0;21417.961585;95.1;0.2;0.55;0.4;1.8;2.0;46.35;9.8;3320;32.2;21.1;0.53;42.9;27.7;17.9;20.45;2.5;8.4;23.05;48.5;-95.7575533;37.8884836;0.293;0.12;0.192;0.063
Wayne County, Utah;10.0;90.0;22.7;7.3;75.7;23737.83492;94.65;0.15;0.2;0.35000000000000003;0.65;4.0;12.8;7.6;2640;11.0;11.15;0.366;10.25;34.1;21.3;20.3;3.15;10.95;10.15;38.1;-110.9903225;38.2612288;0.249;0.085;0.242;0.12
Lewis County, New York;14.0;86.0;14.4;6.0;71.8;26557.9473;96.75;0.65;0.25;0.30000000000000004;0.9;1.15;20.9;7.95;26646;35.8;15.3;0.396;24.15;29.45;19.05;18.2;3.15;14.25;15.95;39.9;-75.4426165;43.7863965;0.259;0.109;0.128;0.101
Logan County, Colorado;13.3;86.7;18.0;5.7;73.3;23491.37238;79.65;3.15;0.65;0.5;1.35;14.75;22.6;11.3;21768;38.9;12.8;0.419;17.45;26.05;21.8;25.35;2.7;10.7;13.35;38.4;-103.0904639;40.7280911;0.23700000000000002;0.068;0.194;0.066
Marlboro County, South Carolina;32.5;67.5;8.6;2.5;72.3;20109.609205;41.2;50.65;3.55;0.30000000000000004;2.1;2.2;33.95;19.3;28752;50.0;26.45;0.456;37.5;18.35;16.5;19.7;2.95;9.05;33.45;38.1;-79.6779418;34.6018053;0.40800000000000003;0.139;0.203;0.167
Lea County, New Mexico;27.3;72.7;12.9;4.6;69.2;26596.201905;44.45;4.35;0.65;0.25;1.1;49.15;26.65;10.45;61392;30.1;17.5;0.432;23.8;24.2;16.8;23.1;1.25;18.4;16.25;31.6;-103.4132707;32.7956865;0.328;0.084;0.23900000000000002;0.043000000000000003
Hardin County, Illinois;23.0;77.0;11.0;2.6;71.55;25140.86762;97.15;0.30000000000000004;0.30000000000000004;0.55;0.6000000000000001;1.05;32.85;11.75;4395;73.6;19.65;0.452;31.05;28.35;20.5;15.35;0.0;14.0;21.8;43.3;-88.2661478;37.5178517;0.311;0.107;0.133;0.107
Miller County, Arkansas;17.0;83.0;12.7;3.5;72.25;24915.333015;71.1;24.0;0.75;0.6000000000000001;1.25;2.25;31.65;13.65;43216;51.7;18.1;0.432;28.85;24.7;17.4;25.1;0.65;14.65;17.55;37.2;-93.9015091;33.3055048;0.336;0.121;0.187;0.067
Pierce County, North Dakota;18.1;81.9;11.1;3.7;77.5;18287.12984;92.9;0.25;4.0;0.7000000000000001;0.85;1.3;7.0;18.25;4229;31.8;12.65;0.421;10.55;29.25;18.1;26.75;2.3;10.45;13.15;47.0;-99.966497;48.2388827;0.325;0.10400000000000001;0.139;0.047
Pleasants County, West Virginia;12.9;87.1;10.4;3.8;82.4;21231.881905;96.85;1.5;0.15;0.05;1.0;0.4;7.65;11.05;7532;27.8;13.45;0.387;16.35;29.15;17.55;23.05;1.0;14.3;14.95;42.2;-81.1611724;39.3681331;0.31;0.127;0.161;0.084
Appomattox County, Virginia;20.2;79.8;11.8;4.1;79.25;29467.79238;76.55;21.35;0.1;0.25;1.0;0.7000000000000001;25.1;11.4;14595;70.0;12.7;0.39;17.85;25.0;19.45;22.05;1.25;12.8;19.5;43.3;-78.8109404;37.3707253;0.304;0.124;0.168;0.07200000000000001
Warren County, Illinois;14.5;85.5;19.9;6.8;86.65;20127.47524;89.35;1.55;0.2;0.5;1.6;6.75;19.2;10.75;17629;69.3;13.95;0.4;19.95;27.05;20.5;21.05;2.05;7.95;21.45;39.9;-90.6202228;40.8504412;0.304;0.10300000000000001;0.149;0.075
Clay County, Mississippi;21.6;78.4;18.1;6.8;77.95;22110.46127;40.7;57.3;0.1;0.2;1.1;0.6000000000000001;46.8;18.45;20757;58.1;24.9;0.491;36.6;27.0;15.8;22.85;0.85;8.05;25.5;37.5;-88.7833258;33.6617336;0.394;0.152;0.215;0.168
Stokes County, North Carolina;20.8;79.2;10.9;2.9;73.8;26694.66349;91.7;4.45;0.25;0.2;0.9;2.5;16.05;12.05;46658;37.2;11.55;0.4;16.75;22.65;14.2;25.75;0.55;15.45;21.4;41.4;-80.2392707;36.4041946;0.256;0.10300000000000001;0.17;0.089
Warrick County, Indiana;8.7;91.3;25.6;9.3;79.8;31488.81873;94.45;1.15;0.15;1.35;1.55;1.4;9.55;6.75;58377;54.4;6.25;0.435;7.15;33.4;14.65;27.1;0.30000000000000004;10.2;14.4;39.6;-87.2720225;38.0977639;0.324;0.10300000000000001;0.11800000000000001;0.068
Sedgwick County, Kansas;12.3;87.7;27.5;8.9;75.95;29186.374605;71.75;8.8;0.75;3.85;3.15;11.7;22.05;8.7;487280;44.1;13.5;0.444;18.45;33.6;15.6;25.2;0.2;10.7;14.65;34.4;-97.4594505;37.683807;0.30000000000000004;0.099;0.155;0.069
Powder River County, Montana;8.1;91.9;16.1;4.5;83.1;18627.469525;95.2;0.05;1.25;0.1;2.1;1.4;24.15;12.2;1705;42.9;12.05;0.47700000000000004;14.05;44.45;14.15;16.85;6.7;10.2;7.65;46.0;-105.5552589;45.4088904;0.251;0.08600000000000001;0.277;0.04
Marin County, California;8.2;91.8;54.1;22.7;83.0;44315.770475;73.9;2.8;0.2;5.5;3.0;14.55;7.4;5.4;249560;74.0;6.7;0.498;7.35;50.35;14.75;23.3;0.30000000000000004;6.75;4.5;44.0;-122.7459738;38.0518169;0.154;0.055;0.12;0.063
Harrison County, Ohio;16.4;83.6;9.0;3.4;76.7;22220.966665;95.65;2.4;0.05;0.1;1.25;0.45;35.3;11.5;15647;39.1;18.75;0.439;28.25;20.35;21.15;22.8;0.6000000000000001;14.35;20.8;43.5;-81.0915651;40.2923175;0.299;0.128;0.152;0.081
Richmond County, North Carolina;25.1;74.9;10.0;3.6;73.2;23259.36222;60.0;30.45;2.15;0.85;1.45;5.1;40.9;20.5;46293;42.8;25.3;0.484;32.9;23.95;21.4;19.15;1.7000000000000002;11.95;21.8;38.3;-79.7478094;35.0019574;0.305;0.127;0.219;0.128
Union County, North Carolina;13.6;86.4;29.1;7.6;78.95;31925.430795;75.1;11.75;0.35000000000000003;1.45;1.35;10.0;14.25;9.35;191572;49.3;9.25;0.437;11.7;35.0;13.95;26.5;0.55;11.85;12.3;35.6;-80.5301312;34.9915012;0.274;0.08700000000000001;0.17200000000000001;0.082
Custer County, Nebraska;9.3;90.7;18.0;4.8;75.6;23220.660315;96.9;0.2;0.30000000000000004;0.1;0.85;1.65;8.55;11.55;10916;22.0;10.0;0.40800000000000003;10.7;34.7;12.65;21.35;5.9;10.55;14.85;44.7;-99.7268662;41.3938927;0.317;0.096;0.153;0.027
Caldwell Parish, Louisiana;23.8;76.2;11.7;4.5;69.05;25103.45651;79.2;17.2;0.2;0.15;1.3;1.9500000000000002;32.45;21.8;10266;37.4;20.9;0.497;22.55;22.45;22.55;19.15;1.9;15.75;18.15;39.3;-92.1141796;32.1012436;0.40800000000000003;0.132;0.217;0.074
Monroe County, Arkansas;31.4;68.6;12.3;3.7;80.25;20974.931745;56.8;39.9;0.5;0.9500000000000001;0.55;1.3;44.0;23.55;8377;52.0;22.65;0.47000000000000003;28.8;24.2;18.15;23.0;5.75;6.85;22.15;43.2;-91.203314;34.6795127;0.35100000000000003;0.14100000000000001;0.2;0.084
Duplin County, North Carolina;30.3;69.7;10.1;2.6;70.65;20363.43111;52.65;25.3;0.2;0.2;1.0;20.55;31.35;19.4;55431;28.1;23.55;0.441;32.2;22.35;17.2;18.9;7.55;14.45;19.5;37.0;-77.9335434;34.9344033;0.361;0.14;0.266;0.097
Antelope County, Nebraska;10.2;89.8;16.5;4.5;72.9;21628.01873;96.8;0.2;0.2;0.15;0.55;2.1;27.6;8.6;6707;47.1;11.9;0.424;15.8;35.85;12.35;24.05;7.95;7.65;12.25;45.2;-98.0580367;42.1832253;0.281;0.113;0.155;0.029
Clay County, Minnesota;7.6;92.4;31.5;9.3;79.15;24024.014605;91.2;1.1;1.3;1.35;1.6;3.5;14.35;7.05;56950;31.8;12.5;0.404;13.0;31.55;20.05;26.85;0.85;8.55;12.25;32.1;-96.4949007;46.8983772;0.314;0.083;0.092;0.042
Gallia County, Ohio;19.2;80.8;14.3;4.8;76.25;23408.435875;94.25;2.8;0.25;0.30000000000000004;1.7000000000000002;0.65;39.4;15.3;30885;32.4;22.15;0.467;31.8;28.9;19.4;21.0;0.9;11.9;18.0;39.4;-82.3017463;38.8170456;0.313;0.12;0.14300000000000002;0.089
Huntington County, Indiana;12.2;87.8;14.8;5.5;77.15;26399.74095;96.4;0.2;0.30000000000000004;0.4;1.15;1.45;15.7;8.4;37507;34.3;11.2;0.397;15.9;25.05;16.0;23.45;0.55;9.35;25.65;38.6;-85.4785975;40.8263938;0.34800000000000003;0.123;0.153;0.084
Chester County, South Carolina;25.7;74.3;11.2;3.0;72.6;26153.939365;59.0;37.4;0.45;0.25;1.6;1.3;42.0;18.8;32903;58.8;21.0;0.449;30.45;20.5;15.35;23.35;0.2;12.0;28.6;39.3;-81.161249;34.689345;0.335;0.136;0.182;0.138
Taylor County, Georgia;36.5;63.5;7.4;2.0;76.8;23529.00857;57.25;40.1;0.05;0.6000000000000001;0.65;1.3;41.9;26.75;8780;37.3;34.45;0.519;43.5;24.05;15.3;22.2;0.35000000000000003;17.05;21.05;37.3;-84.2514261;32.5546668;0.33;0.133;0.221;0.126
Marion County, Kansas;10.2;89.8;19.5;6.9;81.75;23550.14635;94.9;0.8;0.45;0.30000000000000004;1.2;2.35;13.9;6.95;12449;47.2;10.4;0.366;16.75;34.55;18.3;19.25;1.4;8.55;17.95;44.2;-97.1027707;38.3596474;0.311;0.097;0.145;0.05
Noble County, Oklahoma;11.5;88.5;17.5;4.7;72.9;23413.566665;83.25;2.0;7.85;0.30000000000000004;3.95;2.65;21.45;11.0;11286;38.3;13.6;0.41600000000000004;16.5;29.3;16.2;24.4;0.5;10.2;19.35;39.8;-97.2363345;36.384901;0.352;0.124;0.177;0.04
Crawford County, Pennsylvania;14.2;85.8;18.3;6.7;73.85;22750.14127;95.7;1.75;0.25;0.4;1.0;0.9;27.25;8.25;88787;40.5;15.2;0.426;22.4;28.8;18.65;21.1;1.35;9.25;20.9;41.0;-80.1078113;41.6868399;0.298;0.124;0.148;0.077
Hartley County, Texas;21.6;78.4;19.8;4.9;81.95;32121.775555;70.35;7.35;0.35000000000000003;0.35000000000000003;0.7000000000000001;20.95;14.7;8.65;5575;32.4;7.6;0.437;10.9;44.2;13.0;20.3;5.5;6.95;9.95;39.9;-102.6100473;35.8402444;0.315;0.10200000000000001;0.23700000000000002;0.044
Clarke County, Iowa;15.2;84.8;12.9;3.1;73.45;25957.464445;90.5;0.2;0.15;0.35000000000000003;0.35000000000000003;8.45;15.7;11.0;9177;46.1;11.45;0.436;11.75;27.05;18.95;21.2;2.65;8.9;21.2;40.9;-93.7840961;41.0291908;0.313;0.083;0.133;0.062
Stephens County, Oklahoma;14.9;85.1;16.5;5.1;73.4;26006.19778;83.25;2.1;4.5;0.45;3.9;5.85;19.45;8.75;44052;41.1;12.85;0.438;18.3;27.6;15.65;24.8;0.5;13.65;17.85;41.0;-97.8556068;34.4813609;0.294;0.114;0.191;0.044
Hockley County, Texas;25.9;74.1;18.0;4.8;77.1;24506.091745;52.15;2.95;0.30000000000000004;0.65;1.1;42.95;19.9;16.85;22647;35.5;16.75;0.433;22.2;28.95;16.55;23.9;2.95;16.0;11.6;33.4;-102.3433978;33.605932;0.291;0.094;0.257;0.047
Walton County, Florida;15.7;84.3;25.0;8.2;71.1;26117.10254;85.2;6.1;1.0;0.8;2.4;4.4;19.9;8.95;53785;52.1;13.85;0.483;21.5;32.2;19.7;24.95;0.4;15.25;7.55;42.0;-86.1766139;30.6312106;0.267;0.106;0.23700000000000002;0.056
Story County, Iowa;4.7;95.3;47.2;19.3;84.5;17362.730795;87.9;2.25;0.1;5.8;1.45;2.55;11.75;6.15;87161;49.1;19.3;0.453;9.7;42.85;17.15;23.15;1.4;5.85;9.6;26.4;-93.4660934;42.0375379;0.251;0.056;0.099;0.039
Clark County, Illinois;12.0;88.0;16.4;5.4;76.85;25470.670795;97.6;0.25;0.05;0.35000000000000003;0.85;0.9;13.45;9.6;16556;44.8;11.4;0.431;16.0;28.55;15.2;21.95;2.9;12.5;18.95;41.6;-87.7916872;39.3323642;0.311;0.093;0.121;0.10200000000000001
Lee County, Florida;13.3;86.7;24.6;8.9;73.95;27992.81016;72.45;7.45;0.2;1.3;1.3;17.25;20.5;6.95;596215;42.5;11.25;0.47100000000000003;17.45;29.55;19.35;28.9;0.4;13.75;7.95;44.6;-81.8922499;26.5521343;0.259;0.105;0.262;0.089
Gillespie County, Texas;13.6;86.4;26.8;9.8;72.9;25656.100315;79.45;0.15;0.15;0.30000000000000004;0.9500000000000001;19.05;13.9;6.05;24162;54.6;7.45;0.436;8.5;33.55;15.7;25.05;2.35;13.6;9.8;49.3;-98.9421064;30.3263898;0.295;0.116;0.265;0.042
Missaukee County, Michigan;14.4;85.6;12.9;3.9;73.55;21493.384125;95.9;0.35000000000000003;0.6000000000000001;0.25;1.05;1.85;23.2;7.55;14908;31.1;15.5;0.396;23.4;25.6;17.2;22.7;3.45;10.75;20.3;41.8;-85.0854708;44.325424;0.329;0.122;0.161;0.108
Washington County, Ohio;12.0;88.0;16.0;5.3;78.75;24766.151745;96.3;0.9500000000000001;0.15;0.6000000000000001;1.45;0.65;29.05;9.1;61619;38.6;14.95;0.44;21.85;28.7;17.65;25.75;0.55;9.4;17.95;42.0;-81.4906531;39.4506837;0.322;0.115;0.147;0.069
Llano County, Texas;12.0;88.0;26.0;8.2;74.45;26391.52603;89.8;0.35000000000000003;0.6000000000000001;0.4;0.9500000000000001;7.9;30.4;6.2;18725;37.2;11.45;0.48;23.9;33.1;15.95;28.65;0.5;11.4;10.35;54.5;-98.6846901;30.7075845;0.252;0.126;0.243;0.065
Manassas city, Virginia;19.4;80.6;28.3;9.7;74.65;34042.72;51.2;12.15;0.2;4.5;2.75;29.3;20.0;6.2;36690;38.1;12.55;0.388;18.9;33.1;17.6;25.25;0.1;15.6;8.5;32.1;-77.484727;38.7475611;0.296;0.08700000000000001;0.20700000000000002;0.063
Clinton County, Illinois;14.2;85.8;18.9;6.6;76.65;29865.22095;92.25;3.55;0.15;0.4;1.15;2.5;12.9;6.05;36998;49.4;8.1;0.394;9.5;29.75;16.5;25.0;0.8;11.15;16.8;39.2;-89.4231363;38.6064228;0.28;0.08700000000000001;0.107;0.076
Drew County, Arkansas;19.4;80.6;19.4;5.7;78.5;21988.9473;67.9;27.95;0.15;0.55;0.85;2.65;34.15;14.4;18604;73.5;23.45;0.46900000000000003;36.95;28.35;18.25;20.15;3.6;9.4;20.2;36.8;-91.7227781;33.5872418;0.323;0.126;0.197;0.108
La Paz County, Arizona;23.1;76.9;9.0;3.3;71.35;21059.850475;62.5;0.8;10.25;1.25;1.5;23.7;34.9;6.55;20272;54.1;20.0;0.437;32.75;24.3;27.1;22.0;6.65;12.85;7.1;52.5;-114.0387933;33.7276249;0.312;0.134;0.262;0.092
Jefferson County, Florida;20.1;79.9;14.7;6.0;65.3;27064.73524;60.1;34.4;0.2;0.9;1.0;3.4;28.2;18.4;14347;37.0;19.55;0.43;24.8;32.7;22.3;27.45;2.95;7.75;6.85;44.7;-83.8908594;30.4245579;0.35100000000000003;0.134;0.224;0.079
Lake County, South Dakota;8.7;91.3;22.1;8.7;85.25;21323.75111;95.9;0.5;0.7000000000000001;0.5;0.9500000000000001;1.45;16.25;8.45;11350;41.3;11.1;0.40800000000000003;11.6;29.05;17.45;22.45;1.4;7.3;22.3;38.1;-97.1232229;44.0284497;0.305;0.095;0.117;0.041
Concordia Parish, Louisiana;30.1;69.9;11.0;3.8;75.75;18764.162855;57.25;39.9;0.2;0.35000000000000003;0.8;1.45;46.5;26.15;19900;57.6;32.05;0.47800000000000004;42.7;23.15;22.65;24.95;2.15;14.85;12.2;38.4;-91.626314;31.4698055;0.354;0.125;0.223;0.097
Boise County, Idaho;12.8;87.2;23.9;8.1;78.05;29129.06222;92.75;0.1;0.5;0.5;2.15;3.9;10.9;9.85;7247;42.4;14.5;0.403;21.85;35.9;11.3;22.15;2.05;17.75;10.9;46.3;-115.7151105;43.9872749;0.258;0.101;0.193;0.08600000000000001
Hertford County, North Carolina;26.5;73.5;15.7;5.2;76.35;21110.704125;34.55;59.8;1.05;0.5;1.8;2.35;47.4;17.55;23975;60.1;23.8;0.47300000000000003;37.35;26.5;20.35;22.25;1.9500000000000002;9.1;19.85;40.3;-76.981616;36.3635174;0.341;0.14400000000000002;0.176;0.10400000000000001
Seminole County, Oklahoma;20.4;79.6;13.3;5.5;74.65;21480.65619;67.9;4.75;16.1;0.25;7.7;3.3;31.6;16.4;24807;30.4;23.75;0.453;29.25;26.85;17.45;22.85;0.9500000000000001;12.9;18.95;39.1;-96.6028575;35.1583657;0.387;0.131;0.23700000000000002;0.068
Norman County, Minnesota;12.4;87.6;14.9;2.5;75.8;23807.00476;91.7;0.15;1.6;0.30000000000000004;2.05;4.2;27.5;12.55;6740;44.1;12.6;0.425;16.75;33.65;19.4;19.55;5.95;10.0;11.5;44.9;-96.4638068;47.3294703;0.328;0.10200000000000001;0.117;0.055
Fulton County, Indiana;14.3;85.7;14.0;5.4;70.85;25563.889205;93.45;0.9500000000000001;0.25;0.4;1.1;3.85;28.7;6.8;20543;24.5;12.1;0.41500000000000004;17.5;24.25;15.6;19.6;0.9;10.7;28.95;40.0;-86.265006;41.0503837;0.316;0.107;0.176;0.08600000000000001
Phillips County, Kansas;10.3;89.7;17.1;3.4;76.55;25949.97016;96.1;0.35000000000000003;0.2;0.5;1.55;1.25;8.6;7.9;5485;27.0;10.2;0.364;11.9;36.05;13.7;26.9;2.85;6.45;14.05;45.1;-99.3421498;39.7845058;0.315;0.108;0.149;0.042
McLeod County, Minnesota;10.6;89.4;18.3;5.0;76.9;30883.175555;92.8;0.45;0.2;0.75;0.8;5.0;11.0;8.0;36765;45.9;7.2;0.395;9.45;33.1;14.4;21.3;1.4;8.9;20.95;38.6;-94.2723203;44.8216437;0.319;0.078;0.095;0.069
Otter Tail County, Minnesota;11.8;88.2;19.7;5.2;73.9;25035.88635;95.25;0.65;0.5;0.5;0.85;2.3;19.2;11.2;57107;40.9;12.75;0.417;17.2;30.25;17.6;22.1;1.45;10.7;17.95;45.3;-95.7145779;46.405725;0.28200000000000003;0.08700000000000001;0.10400000000000001;0.056
Ashtabula County, Ohio;15.8;84.2;12.9;4.4;73.9;24168.019685;91.2;3.2;0.2;0.30000000000000004;1.8;3.3;26.7;9.8;101436;35.4;15.9;0.41200000000000003;22.15;25.9;16.8;21.0;0.9;11.9;23.45;40.6;-80.7456406;41.9066441;0.30000000000000004;0.117;0.154;0.09
Jackson County, Ohio;20.6;79.4;12.0;4.5;71.55;24804.719685;96.45;0.65;0.15;0.30000000000000004;1.35;1.1;32.05;12.6;33283;44.5;21.9;0.457;32.25;26.7;15.75;22.0;1.2;11.3;23.05;39.0;-82.614142;39.0134773;0.334;0.115;0.149;0.092
Howard County, Iowa;13.2;86.8;11.5;3.0;75.55;26203.329205;97.75;0.2;0.15;0.2;0.7000000000000001;1.1;20.45;18.35;9527;45.2;11.3;0.393;14.3;26.6;17.3;17.6;1.8;9.9;26.8;41.3;-92.3219084;43.3653125;0.298;0.089;0.11800000000000001;0.052000000000000005
Waushara County, Wisconsin;15.6;84.4;13.3;4.3;72.3;23720.020635;91.15;1.85;0.35000000000000003;0.5;0.8;5.3;22.9;8.45;24578;35.5;12.85;0.389;21.45;23.2;18.1;20.85;2.95;11.0;23.9;45.4;-89.239752;44.1128248;0.296;0.092;0.137;0.081
Escambia County, Alabama;27.0;73.0;10.9;3.6;71.25;22205.595875;61.8;31.55;3.45;0.30000000000000004;1.15;1.65;43.45;15.15;37940;28.5;23.6;0.464;36.9;24.9;19.55;23.3;1.35;13.7;17.2;38.3;-87.168429;31.1217475;0.369;0.132;0.193;0.089
McCreary County, Kentucky;35.3;64.7;8.0;5.8;66.55;16721.814285;92.45;4.4;0.6000000000000001;0.1;0.8;1.65;56.75;21.95;18252;39.7;36.25;0.434;49.65;24.6;19.9;13.35;1.3;15.85;24.95;36.7;-84.4910515;36.7311363;0.323;0.131;0.212;0.133
York County, Maine;9.9;90.1;26.7;8.5;77.3;29291.97619;95.85;0.55;0.25;1.0;1.1;1.25;10.4;8.0;199218;44.1;8.5;0.398;10.4;33.9;18.2;24.2;1.15;10.4;12.15;42.1;-70.6704023;43.4272386;0.267;0.09;0.117;0.066
Jackson County, North Carolina;18.6;81.4;27.0;11.0;79.95;19490.438095;82.2;2.0;9.05;0.85;2.1;3.8;19.85;15.55;38359;52.5;20.25;0.454;20.95;31.75;23.05;24.6;0.8;11.75;8.0;36.6;-83.1306405;35.2864625;0.328;0.126;0.262;0.092
Union County, New Jersey;15.7;84.3;31.2;11.9;79.85;35825.19619;46.75;20.8;0.1;4.5;1.7000000000000002;26.1;14.2;8.6;529274;66.3;8.9;0.481;12.3;34.8;16.5;26.35;0.1;7.85;14.4;37.8;-74.3086957;40.6598707;0.232;0.082;0.177;0.097
Cooke County, Texas;18.2;81.8;19.5;5.6;72.5;27328.963175;79.4;2.65;0.8;0.6000000000000001;1.75;14.75;24.65;7.2;38430;38.3;13.6;0.438;20.9;27.7;17.75;21.9;0.55;12.5;19.5;38.9;-97.2103723;33.6391685;0.316;0.10200000000000001;0.261;0.044
Limestone County, Texas;25.5;74.5;12.0;4.4;65.0;23622.29492;62.25;18.25;0.25;0.25;0.9500000000000001;18.15;37.65;12.55;22875;29.8;19.6;0.41100000000000003;29.5;29.45;19.0;22.35;1.15;13.95;14.05;39.4;-96.593623;31.5475427;0.297;0.11;0.251;0.061
Tooele County, Utah;8.2;91.8;18.6;4.5;74.9;34420.834605;84.35;0.85;0.9;0.65;2.35;10.9;7.4;5.6;56345;41.2;6.2;0.34500000000000003;6.85;30.0;15.0;28.3;0.30000000000000004;11.5;14.85;29.1;-113.1240153;40.4676916;0.303;0.089;0.14200000000000002;0.063
Polk County, Florida;18.1;81.9;18.0;5.6;72.05;26471.18889;66.35;13.75;0.30000000000000004;1.55;1.75;16.4;26.1;8.7;584376;42.2;14.8;0.432;22.65;28.4;18.8;26.35;1.45;11.6;13.4;39.4;-81.6927831;27.9531147;0.321;0.122;0.234;0.098
Pike County, Mississippi;22.5;77.5;15.7;5.5;80.15;21413.498415;47.5;50.05;0.25;0.55;0.55;1.1;51.9;18.7;40005;56.9;26.65;0.506;37.95;25.6;17.7;23.9;1.9500000000000002;12.6;18.2;37.0;-90.3977249;31.1775167;0.378;0.159;0.201;0.108
Allegany County, Maryland;14.9;85.1;15.9;7.4;74.45;22523.35492;89.55;7.0;0.15;0.7000000000000001;1.4;1.25;24.2;8.75;73842;57.4;14.35;0.446;18.0;27.3;21.4;26.25;0.25;10.95;13.9;40.9;-78.7031084;39.6123087;0.28400000000000003;0.121;0.11900000000000001;0.082
