County;Less Than High School Diploma;At Least High School Diploma;At Least Bachelors's Degree;Graduate Degree;School Enrollment;Median Earnings 2010;White (Not Latino) Population;African American Population;Native American Population;Asian American Population;Other Race or Races;Latino Population;Children Under 6 Living in Poverty;Adults 65 and Older Living in Poverty;Total Population;Preschool.Enrollment.Ratio.enrolled.ages.3.and.4;Poverty.Rate.below.federal.poverty.threshold;Gini.Coefficient;Child.Poverty.living.in.families.below.the.poverty.line;Management.professional.and.related.occupations;Service.occupations;Sales.and.office.occupations;Farming.fishing.and.forestry.occupations;Construction.extraction.maintenance.and.repair.occupations;Production.transportation.and.material.moving.occupations;Median Age;lon;lat;Adult.obesity;Diabetes;Uninsured;Unemployment
Spink County, South Dakota;16.5;83.5;15.9;3.4;73.25;24596.27492;96.6;0.4;1.0;0.05;1.4;0.6000000000000001;26.9;12.2;6544;28.5;15.8;0.47400000000000003;19.95;37.1;17.9;19.5;3.25;7.45;14.75;44.3;-98.3396437;44.9310341;0.34400000000000003;0.092;0.13;0.042
McHenry County, Illinois;8.3;91.7;32.1;10.2;82.55;37156.443175;84.2;0.9500000000000001;0.1;2.55;1.1;11.0;9.05;4.55;310853;55.6;5.9;0.386;7.8;36.1;13.55;28.3;0.2;9.15;12.65;37.1;-88.452245;42.3242982;0.268;0.07200000000000001;0.109;0.084
Grant County, Indiana;16.7;83.3;15.4;6.3;77.15;22025.949205;86.95;7.15;0.35000000000000003;0.6000000000000001;1.7000000000000002;3.25;31.85;9.25;69632;26.9;17.15;0.425;24.8;29.4;19.2;23.9;0.30000000000000004;7.7;19.55;39.1;-85.6549455;40.5157575;0.317;0.131;0.17200000000000001;0.099
Tazewell County, Virginia;24.4;75.6;14.3;4.2;74.55;23272.09238;94.75;2.9;0.15;0.7000000000000001;1.05;0.45;22.5;11.75;44692;38.1;16.4;0.436;21.85;28.45;17.45;25.3;0.55;13.95;14.2;43.4;-81.5629237;37.1253949;0.308;0.122;0.168;0.07
Richardson County, Nebraska;13.7;86.3;15.2;5.5;77.9;23985.439685;93.7;0.05;1.75;0.25;2.8;1.4;54.3;11.05;8360;35.5;13.35;0.396;23.85;32.5;17.7;19.65;2.5;11.85;15.75;47.1;-95.7186026;40.1237427;0.326;0.12;0.158;0.052000000000000005
Lawrence County, South Dakota;7.4;92.6;31.8;10.1;75.95;21122.45778;93.1;0.2;1.9;1.0;1.45;2.4;19.65;7.5;23628;31.1;15.25;0.455;16.4;29.7;24.25;25.25;0.5;12.45;7.75;39.4;-103.7965284;44.353669;0.244;0.078;0.156;0.046
Hanover County, Virginia;8.8;91.2;33.0;10.9;82.9;38272.704125;85.75;9.4;0.25;1.25;1.45;1.85;4.85;7.3;99232;61.6;4.45;0.393;5.15;42.15;12.65;27.3;0.4;9.8;7.65;40.4;-77.4909916;37.7601655;0.266;0.091;0.099;0.055
Adams County, Wisconsin;16.0;84.0;10.8;3.8;71.2;22518.78762;91.25;3.0;0.85;0.55;1.0;3.4;32.85;6.4;20637;42.9;12.6;0.404;20.05;20.95;20.9;24.0;1.25;11.35;21.5;47.7;-89.7672232;43.9737629;0.302;0.108;0.122;0.099
Hartford County, Connecticut;12.9;87.1;33.3;14.1;81.05;36438.102855;67.65;12.1;0.1;3.85;1.8;14.45;18.35;7.85;884211;62.7;10.4;0.458;14.9;39.25;16.55;26.15;0.15;6.85;11.0;39.5;-72.7329157;41.8060534;0.246;0.085;0.1;0.08700000000000001
Alcona County, Michigan;15.7;84.3;12.4;4.7;79.2;18988.474285;96.85;0.15;0.6000000000000001;0.2;1.2;1.0;27.35;8.15;11151;42.3;14.75;0.41300000000000003;25.85;22.5;20.3;25.4;2.3;11.75;17.8;54.3;-82.8340798;44.6825347;0.301;0.145;0.181;0.126
De Witt County, Illinois;9.7;90.3;15.7;2.8;79.05;28493.650475;95.7;0.75;0.1;0.35000000000000003;1.1;1.9500000000000002;11.8;7.35;16425;66.2;8.8;0.41300000000000003;11.85;26.25;17.1;24.95;0.5;12.1;19.05;41.4;-88.9018526;40.1814993;0.303;0.096;0.111;0.08
Caldwell County, Kentucky;17.6;82.4;14.0;8.0;78.7;26910.74349;92.55;4.55;0.15;0.75;1.15;0.9;32.0;18.95;12903;19.1;17.15;0.447;20.55;27.45;14.05;24.4;0.35000000000000003;12.45;21.25;42.4;-87.87051;37.1486431;0.326;0.124;0.177;0.07100000000000001
Carbon County, Montana;8.7;91.3;28.5;6.8;79.05;24032.89365;95.7;0.2;0.9;0.30000000000000004;0.85;2.1;13.85;11.15;9909;42.6;10.95;0.419;12.8;34.75;20.35;18.5;3.05;11.5;11.85;46.7;-109.0285509;45.2244745;0.254;0.08;0.221;0.047
Macon County, North Carolina;17.0;83.0;19.5;7.2;69.15;22741.363175;91.95;1.3;0.30000000000000004;0.55;1.1;4.8;32.45;10.0;33264;36.7;15.65;0.5;23.45;30.35;17.45;24.15;0.55;18.55;8.95;47.5;-83.421901;35.1529593;0.245;0.107;0.242;0.107
