County,State,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Median Age,lon,lat,Adult.obesity,Diabetes,Uninsured,Unemployment
Goochland County, Virginia,20.7,79.3,30.7,12.8,80.15,29587.02222,71.3,24.6,0.25,0.95,1.2,1.7,7.5,8,21073,55.5,7.75,0.508,5.3,44.85,10.6,28.8,0.95,7.9,6.95,44.1,-77.9142734,37.7241655,0.26,0.112,0.096,0.049
Grayson County, Virginia,26.6,73.4,10.3,2.1,70.2,21397.26127,94.2,2.55,0.1,0.05,0.55,2.6,24.2,18.1,15794,6.7,16.05,0.451,21.85,24.55,15.1,19.95,2,10.45,28.05,46,-81.2253365,36.6563026,0.318,0.131,0.183,0.092
Greene County, Virginia,20.5,79.5,20,7.3,72,30419.54762,86.9,7.05,0.1,0.8,1.7,3.45,12.15,14.3,18146,20.7,7.9,0.388,7.65,29.8,21.05,26.95,0.2,12.75,9.3,38.7,-78.4701629,38.2979805,0.299,0.097,0.179,0.049
Greensville County, Virginia,30.3,69.7,5.5,1.5,60.55,20747.05524,37.6,60.1,0.2,0.3,0.45,1.4,40.25,14.6,12079,47.3,15.9,0.406,29.7,20.05,24.5,20,2.2,12.25,21,40,-77.5602607,36.6802247,0.34,0.117,0.141,0.093
Halifax County, Virginia,27.1,72.9,13.2,6,74.8,25522.52953,60.25,36.65,0.2,0.35,1,1.65,26.8,20.55,35850,32.9,19.25,0.473,26,27.7,16.5,23,0.8,10,21.95,43.9,-78.9396142,36.766461,0.326,0.143,0.165,0.094
Hampton city, Virginia,11.4,88.6,21.8,8.2,72.15,29461.4527,43.05,47.6,0.35,2.15,2.7,4.2,18.8,8.2,141669,39.8,12.75,0.393,20,31.5,16.5,26.4,0.2,11.8,13.65,35.4,-76.2971486,37.0480303,0.365,0.12,0.139,0.078
Hanover County, Virginia,8.8,91.2,33,10.9,82.9,38272.70413,85.75,9.4,0.25,1.25,1.45,1.85,4.85,7.3,99232,61.6,4.45,0.393,5.15,42.15,12.65,27.3,0.4,9.8,7.65,40.4,-77.4909916,37.7601655,0.266,0.091,0.099,0.055
Harrisonburg city, Virginia,22.5,77.5,33.3,14,85.5,9063.78,73.4,6.05,0.05,3.85,2,14.7,26.8,10.55,46448,39.4,32,0.483,19.5,28.6,20,24.3,1.25,8.7,17.2,22.5,-78.8741973,38.4360126,0.31,0.073,0.226,0.068
Henrico County, Virginia,10.9,89.1,38.9,14.2,77.8,34832.33746,59.55,27.9,0.3,5.85,2.1,4.3,16.25,5.6,298053,50.2,9.2,0.438,13.4,41.6,14.2,28.05,0.1,7.3,8.8,37.1,-77.300333,37.4375205,0.279,0.094,0.14,0.056
Henry County, Virginia,27.7,72.3,10.9,3.8,70.8,22395.11905,70.6,21.95,0.05,0.45,1.3,5.65,36.65,12.9,54815,34.6,17.15,0.433,28,23.3,14.95,23.85,0.4,9.3,28.25,43.6,-79.9805844,36.6205931,0.303,0.131,0.199,0.099
